T,C,T1,T2,C1,C2,final_r1,final_r2,trajectory
13.0,33.0,8.0,13.0,9.0,14.0,A1,C1,R1:A_R2:B + R2:C :: R1:enter(A) | R2:enter(B) | R1:move(A3) | R2:explore(B1) | R1:explore(A3) | R2:move(B3) | R1:move(A2) | R2:explore(B3) | R1:explore(A2) | R2:move(B2) | R1:move(A1) | R2:explore(B2) | R1:explore(A1) | R2:enter(C) | R2:explore(C3) | R2:move(C2) | R2:explore(C2) | R2:move(C1) | R2:explore(C1) | R1:finish | R2:finish
13.0,33.0,8.0,13.0,9.0,14.0,B3,C1,R1:B_R2:A + R2:C :: R1:enter(B) | R2:enter(A) | R1:move(B2) | R2:explore(A1) | R1:explore(B2) | R2:move(A3) | R1:move(B1) | R2:explore(A3) | R1:explore(B1) | R2:move(A2) | R1:move(B3) | R2:explore(A2) | R1:explore(B3) | R2:enter(C) | R2:explore(C2) | R2:move(C3) | R2:explore(C3) | R2:move(C1) | R2:explore(C1) | R1:finish | R2:finish
13.0,33.0,8.0,13.0,9.0,14.0,B1,C1,R1:B_R2:A + R2:C :: R1:enter(B) | R2:enter(A) | R1:move(B2) | R2:explore(A1) | R1:explore(B2) | R2:move(A3) | R1:move(B3) | R2:explore(A3) | R1:explore(B3) | R2:move(A2) | R1:move(B1) | R2:explore(A2) | R1:explore(B1) | R2:enter(C) | R2:explore(C2) | R2:move(C3) | R2:explore(C3) | R2:move(C1) | R2:explore(C1) | R1:finish | R2:finish
13.0,33.0,8.0,13.0,9.0,14.0,B1,C1,R1:B_R2:A + R2:C :: R1:enter(B) | R2:enter(A) | R1:move(B3) | R2:explore(A1) | R1:explore(B3) | R2:move(A3) | R1:move(B2) | R2:explore(A3) | R1:explore(B2) | R2:move(A2) | R1:move(B1) | R2:explore(A2) | R1:explore(B1) | R2:enter(C) | R2:explore(C2) | R2:move(C3) | R2:explore(C3) | R2:move(C1) | R2:explore(C1) | R1:finish | R2:finish
13.0,33.0,13.0,8.0,14.0,9.0,C1,A3,R1:B_R2:A + R1:C :: R1:enter(B) | R2:enter(A) | R1:explore(B1) | R2:move(A2) | R1:move(B3) | R2:explore(A2) | R1:explore(B3) | R2:move(A1) | R1:move(B2) | R2:explore(A1) | R1:explore(B2) | R2:move(A3) | R1:enter(C) | R2:explore(A3) | R1:explore(C3) | R1:move(C2) | R1:explore(C2) | R1:move(C1) | R1:explore(C1) | R1:finish | R2:finish
13.0,33.0,13.0,8.0,14.0,9.0,C1,A1,R1:B_R2:A + R1:C :: R1:enter(B) | R2:enter(A) | R1:explore(B1) | R2:move(A2) | R1:move(B3) | R2:explore(A2) | R1:explore(B3) | R2:move(A3) | R1:move(B2) | R2:explore(A3) | R1:explore(B2) | R2:move(A1) | R1:enter(C) | R2:explore(A1) | R1:explore(C3) | R1:move(C2) | R1:explore(C2) | R1:move(C1) | R1:explore(C1) | R1:finish | R2:finish
13.0,33.0,13.0,8.0,14.0,9.0,C1,A1,R1:B_R2:A + R1:C :: R1:enter(B) | R2:enter(A) | R1:explore(B1) | R2:move(A3) | R1:move(B3) | R2:explore(A3) | R1:explore(B3) | R2:move(A2) | R1:move(B2) | R2:explore(A2) | R1:explore(B2) | R2:move(A1) | R1:enter(C) | R2:explore(A1) | R1:explore(C3) | R1:move(C2) | R1:explore(C2) | R1:move(C1) | R1:explore(C1) | R1:finish | R2:finish
13.0,34.0,13.0,8.0,14.0,10.0,C1,B2,R1:A_R2:B + R1:C :: R1:enter(A) | R2:enter(B) | R1:explore(A1) | R2:move(B3) | R1:move(A3) | R2:explore(B3) | R1:explore(A3) | R2:move(B1) | R1:move(A2) | R2:explore(B1) | R1:explore(A2) | R2:move(B2) | R1:enter(C) | R2:explore(B2) | R1:explore(C2) | R1:move(C3) | R1:explore(C3) | R1:move(C1) | R1:explore(C1) | R1:finish | R2:finish
13.0,34.0,8.0,13.0,10.0,14.0,A2,C1,R1:A_R2:B + R2:C :: R1:enter(A) | R2:enter(B) | R1:move(A3) | R2:explore(B1) | R1:explore(A3) | R2:move(B3) | R1:move(A1) | R2:explore(B3) | R1:explore(A1) | R2:move(B2) | R1:move(A2) | R2:explore(B2) | R1:explore(A2) | R2:enter(C) | R2:explore(C3) | R2:move(C2) | R2:explore(C2) | R2:move(C1) | R2:explore(C1) | R1:finish | R2:finish
13.0,34.0,8.0,13.0,10.0,14.0,B2,C1,R1:B_R2:A + R2:C :: R1:enter(B) | R2:enter(A) | R1:move(B3) | R2:explore(A1) | R1:explore(B3) | R2:move(A3) | R1:move(B1) | R2:explore(A3) | R1:explore(B1) | R2:move(A2) | R1:move(B2) | R2:explore(A2) | R1:explore(B2) | R2:enter(C) | R2:explore(C2) | R2:move(C3) | R2:explore(C3) | R2:move(C1) | R2:explore(C1) | R1:finish | R2:finish
13.0,34.0,13.0,8.0,14.0,10.0,C1,A2,R1:B_R2:A + R1:C :: R1:enter(B) | R2:enter(A) | R1:explore(B1) | R2:move(A3) | R1:move(B3) | R2:explore(A3) | R1:explore(B3) | R2:move(A1) | R1:move(B2) | R2:explore(A1) | R1:explore(B2) | R2:move(A2) | R1:enter(C) | R2:explore(A2) | R1:explore(C3) | R1:move(C2) | R1:explore(C2) | R1:move(C1) | R1:explore(C1) | R1:finish | R2:finish
14.0,31.0,14.0,7.0,14.0,7.0,C1,B3,R1:A_R2:B + R1:C :: R1:enter(A) | R2:enter(B) | R1:explore(A1) | R2:explore(B1) | R1:move(A2) | R2:move(B2) | R1:explore(A2) | R2:explore(B2) | R1:move(A3) | R2:move(B3) | R1:explore(A3) | R2:explore(B3) | R1:move(A2) | R1:enter(C) | R1:explore(C2) | R1:move(C3) | R1:explore(C3) | R1:move(C1) | R1:explore(C1) | R1:finish | R2:finish
14.0,31.0,7.0,14.0,7.0,14.0,A3,C1,R1:A_R2:B + R2:C :: R1:enter(A) | R2:enter(B) | R1:explore(A1) | R2:explore(B1) | R1:move(A2) | R2:move(B2) | R1:explore(A2) | R2:explore(B2) | R1:move(A3) | R2:move(B3) | R1:explore(A3) | R2:explore(B3) | R2:move(B2) | R2:enter(C) | R2:explore(C3) | R2:move(C2) | R2:explore(C2) | R2:move(C1) | R2:explore(C1) | R1:finish | R2:finish
14.0,31.0,14.0,7.0,14.0,7.0,C1,A3,R1:B_R2:A + R1:C :: R1:enter(B) | R2:enter(A) | R1:explore(B1) | R2:explore(A1) | R1:move(B2) | R2:move(A2) | R1:explore(B2) | R2:explore(A2) | R1:move(B3) | R2:move(A3) | R1:explore(B3) | R2:explore(A3) | R1:move(B2) | R1:enter(C) | R1:explore(C3) | R1:move(C2) | R1:explore(C2) | R1:move(C1) | R1:explore(C1) | R1:finish | R2:finish
14.0,31.0,7.0,14.0,7.0,14.0,B3,C1,R1:B_R2:A + R2:C :: R1:enter(B) | R2:enter(A) | R1:explore(B1) | R2:explore(A1) | R1:move(B2) | R2:move(A2) | R1:explore(B2) | R2:explore(A2) | R1:move(B3) | R2:move(A3) | R1:explore(B3) | R2:explore(A3) | R2:move(A2) | R2:enter(C) | R2:explore(C2) | R2:move(C3) | R2:explore(C3) | R2:move(C1) | R2:explore(C1) | R1:finish | R2:finish
14.0,32.0,14.0,7.0,14.0,8.0,C1,B2,R1:A_R2:B + R1:C :: R1:enter(A) | R2:enter(B) | R1:explore(A1) | R2:explore(B1) | R1:move(A2) | R2:move(B3) | R1:explore(A2) | R2:explore(B3) | R1:move(A3) | R2:move(B2) | R1:explore(A3) | R2:explore(B2) | R1:move(A2) | R1:enter(C) | R1:explore(C2) | R1:move(C3) | R1:explore(C3) | R1:move(C1) | R1:explore(C1) | R1:finish | R2:finish
14.0,32.0,7.0,14.0,8.0,14.0,A2,C1,R1:A_R2:B + R2:C :: R1:enter(A) | R2:enter(B) | R1:explore(A1) | R2:explore(B1) | R1:move(A3) | R2:move(B2) | R1:explore(A3) | R2:explore(B2) | R1:move(A2) | R2:move(B3) | R1:explore(A2) | R2:explore(B3) | R2:move(B2) | R2:enter(C) | R2:explore(C3) | R2:move(C2) | R2:explore(C2) | R2:move(C1) | R2:explore(C1) | R1:finish | R2:finish
14.0,32.0,7.0,14.0,8.0,14.0,B2,C1,R1:B_R2:A + R2:C :: R1:enter(B) | R2:enter(A) | R1:explore(B1) | R2:explore(A1) | R1:move(B3) | R2:move(A2) | R1:explore(B3) | R2:explore(A2) | R1:move(B2) | R2:move(A3) | R1:explore(B2) | R2:explore(A3) | R2:move(A2) | R2:enter(C) | R2:explore(C2) | R2:move(C3) | R2:explore(C3) | R2:move(C1) | R2:explore(C1) | R1:finish | R2:finish
14.0,32.0,14.0,7.0,14.0,8.0,C1,A2,R1:B_R2:A + R1:C :: R1:enter(B) | R2:enter(A) | R1:explore(B1) | R2:explore(A1) | R1:move(B2) | R2:move(A3) | R1:explore(B2) | R2:explore(A3) | R1:move(B3) | R2:move(A2) | R1:explore(B3) | R2:explore(A2) | R1:move(B2) | R1:enter(C) | R1:explore(C3) | R1:move(C2) | R1:explore(C2) | R1:move(C1) | R1:explore(C1) | R1:finish | R2:finish
14.0,33.0,14.0,8.0,14.0,9.0,C1,B3,R1:A_R2:B + R1:C :: R1:enter(A) | R2:enter(B) | R1:explore(A1) | R2:move(B2) | R1:move(A2) | R2:explore(B2) | R1:explore(A2) | R2:move(B1) | R1:move(A3) | R2:explore(B1) | R1:explore(A3) | R2:move(B3) | R1:move(A2) | R2:explore(B3) | R1:enter(C) | R1:explore(C2) | R1:move(C3) | R1:explore(C3) | R1:move(C1) | R1:explore(C1) | R1:finish | R2:finish
14.0,33.0,14.0,8.0,14.0,9.0,C1,B1,R1:A_R2:B + R1:C :: R1:enter(A) | R2:enter(B) | R1:explore(A1) | R2:move(B2) | R1:move(A2) | R2:explore(B2) | R1:explore(A2) | R2:move(B3) | R1:move(A3) | R2:explore(B3) | R1:explore(A3) | R2:move(B1) | R1:move(A2) | R2:explore(B1) | R1:enter(C) | R1:explore(C2) | R1:move(C3) | R1:explore(C3) | R1:move(C1) | R1:explore(C1) | R1:finish | R2:finish
14.0,33.0,7.0,14.0,7.0,16.0,A3,C1,R1:A_R2:B + R2:C :: R1:enter(A) | R2:enter(B) | R1:explore(A1) | R2:move(B3) | R1:move(A2) | R2:explore(B3) | R1:explore(A2) | R2:move(B1) | R1:move(A3) | R2:explore(B1) | R1:explore(A3) | R2:move(B2) | R2:explore(B2) | R2:enter(C) | R2:explore(C3) | R2:move(C2) | R2:explore(C2) | R2:move(C1) | R2:explore(C1) | R1:finish | R2:finish
14.0,33.0,14.0,8.0,14.0,9.0,C1,B1,R1:A_R2:B + R1:C :: R1:enter(A) | R2:enter(B) | R1:explore(A1) | R2:move(B3) | R1:move(A2) | R2:explore(B3) | R1:explore(A2) | R2:move(B2) | R1:move(A3) | R2:explore(B2) | R1:explore(A3) | R2:move(B1) | R1:move(A2) | R2:explore(B1) | R1:enter(C) | R1:explore(C2) | R1:move(C3) | R1:explore(C3) | R1:move(C1) | R1:explore(C1) | R1:finish | R2:finish
14.0,33.0,8.0,14.0,9.0,14.0,A3,C1,R1:A_R2:B + R2:C :: R1:enter(A) | R2:enter(B) | R1:move(A2) | R2:explore(B1) | R1:explore(A2) | R2:move(B2) | R1:move(A1) | R2:explore(B2) | R1:explore(A1) | R2:move(B3) | R1:move(A3) | R2:explore(B3) | R1:explore(A3) | R2:move(B2) | R2:enter(C) | R2:explore(C3) | R2:move(C2) | R2:explore(C2) | R2:move(C1) | R2:explore(C1) | R1:finish | R2:finish
14.0,33.0,8.0,14.0,9.0,14.0,A1,C1,R1:A_R2:B + R2:C :: R1:enter(A) | R2:enter(B) | R1:move(A2) | R2:explore(B1) | R1:explore(A2) | R2:move(B2) | R1:move(A3) | R2:explore(B2) | R1:explore(A3) | R2:move(B3) | R1:move(A1) | R2:explore(B3) | R1:explore(A1) | R2:move(B2) | R2:enter(C) | R2:explore(C3) | R2:move(C2) | R2:explore(C2) | R2:move(C1) | R2:explore(C1) | R1:finish | R2:finish
14.0,33.0,14.0,7.0,16.0,7.0,C1,B3,R1:A_R2:B + R1:C :: R1:enter(A) | R2:enter(B) | R1:move(A3) | R2:explore(B1) | R1:explore(A3) | R2:move(B2) | R1:move(A1) | R2:explore(B2) | R1:explore(A1) | R2:move(B3) | R1:move(A2) | R2:explore(B3) | R1:explore(A2) | R1:enter(C) | R1:explore(C2) | R1:move(C3) | R1:explore(C3) | R1:move(C1) | R1:explore(C1) | R1:finish | R2:finish
14.0,33.0,8.0,14.0,9.0,14.0,A1,C1,R1:A_R2:B + R2:C :: R1:enter(A) | R2:enter(B) | R1:move(A3) | R2:explore(B1) | R1:explore(A3) | R2:move(B2) | R1:move(A2) | R2:explore(B2) | R1:explore(A2) | R2:move(B3) | R1:move(A1) | R2:explore(B3) | R1:explore(A1) | R2:move(B2) | R2:enter(C) | R2:explore(C3) | R2:move(C2) | R2:explore(C2) | R2:move(C1) | R2:explore(C1) | R1:finish | R2:finish
14.0,33.0,8.0,14.0,9.0,14.0,B3,C1,R1:B_R2:A + R2:C :: R1:enter(B) | R2:enter(A) | R1:move(B2) | R2:explore(A1) | R1:explore(B2) | R2:move(A2) | R1:move(B1) | R2:explore(A2) | R1:explore(B1) | R2:move(A3) | R1:move(B3) | R2:explore(A3) | R1:explore(B3) | R2:move(A2) | R2:enter(C) | R2:explore(C2) | R2:move(C3) | R2:explore(C3) | R2:move(C1) | R2:explore(C1) | R1:finish | R2:finish
14.0,33.0,8.0,14.0,9.0,14.0,B1,C1,R1:B_R2:A + R2:C :: R1:enter(B) | R2:enter(A) | R1:move(B2) | R2:explore(A1) | R1:explore(B2) | R2:move(A2) | R1:move(B3) | R2:explore(A2) | R1:explore(B3) | R2:move(A3) | R1:move(B1) | R2:explore(A3) | R1:explore(B1) | R2:move(A2) | R2:enter(C) | R2:explore(C2) | R2:move(C3) | R2:explore(C3) | R2:move(C1) | R2:explore(C1) | R1:finish | R2:finish
14.0,33.0,14.0,7.0,16.0,7.0,C1,A3,R1:B_R2:A + R1:C :: R1:enter(B) | R2:enter(A) | R1:move(B3) | R2:explore(A1) | R1:explore(B3) | R2:move(A2) | R1:move(B1) | R2:explore(A2) | R1:explore(B1) | R2:move(A3) | R1:move(B2) | R2:explore(A3) | R1:explore(B2) | R1:enter(C) | R1:explore(C3) | R1:move(C2) | R1:explore(C2) | R1:move(C1) | R1:explore(C1) | R1:finish | R2:finish
14.0,33.0,8.0,14.0,9.0,14.0,B1,C1,R1:B_R2:A + R2:C :: R1:enter(B) | R2:enter(A) | R1:move(B3) | R2:explore(A1) | R1:explore(B3) | R2:move(A2) | R1:move(B2) | R2:explore(A2) | R1:explore(B2) | R2:move(A3) | R1:move(B1) | R2:explore(A3) | R1:explore(B1) | R2:move(A2) | R2:enter(C) | R2:explore(C2) | R2:move(C3) | R2:explore(C3) | R2:move(C1) | R2:explore(C1) | R1:finish | R2:finish
14.0,33.0,14.0,8.0,14.0,9.0,C1,A3,R1:B_R2:A + R1:C :: R1:enter(B) | R2:enter(A) | R1:explore(B1) | R2:move(A2) | R1:move(B2) | R2:explore(A2) | R1:explore(B2) | R2:move(A1) | R1:move(B3) | R2:explore(A1) | R1:explore(B3) | R2:move(A3) | R1:move(B2) | R2:explore(A3) | R1:enter(C) | R1:explore(C3) | R1:move(C2) | R1:explore(C2) | R1:move(C1) | R1:explore(C1) | R1:finish | R2:finish
14.0,33.0,14.0,8.0,14.0,9.0,C1,A1,R1:B_R2:A + R1:C :: R1:enter(B) | R2:enter(A) | R1:explore(B1) | R2:move(A2) | R1:move(B2) | R2:explore(A2) | R1:explore(B2) | R2:move(A3) | R1:move(B3) | R2:explore(A3) | R1:explore(B3) | R2:move(A1) | R1:move(B2) | R2:explore(A1) | R1:enter(C) | R1:explore(C3) | R1:move(C2) | R1:explore(C2) | R1:move(C1) | R1:explore(C1) | R1:finish | R2:finish
14.0,33.0,7.0,14.0,7.0,16.0,B3,C1,R1:B_R2:A + R2:C :: R1:enter(B) | R2:enter(A) | R1:explore(B1) | R2:move(A3) | R1:move(B2) | R2:explore(A3) | R1:explore(B2) | R2:move(A1) | R1:move(B3) | R2:explore(A1) | R1:explore(B3) | R2:move(A2) | R2:explore(A2) | R2:enter(C) | R2:explore(C2) | R2:move(C3) | R2:explore(C3) | R2:move(C1) | R2:explore(C1) | R1:finish | R2:finish
14.0,33.0,14.0,8.0,14.0,9.0,C1,A1,R1:B_R2:A + R1:C :: R1:enter(B) | R2:enter(A) | R1:explore(B1) | R2:move(A3) | R1:move(B2) | R2:explore(A3) | R1:explore(B2) | R2:move(A2) | R1:move(B3) | R2:explore(A2) | R1:explore(B3) | R2:move(A1) | R1:move(B2) | R2:explore(A1) | R1:enter(C) | R1:explore(C3) | R1:move(C2) | R1:explore(C2) | R1:move(C1) | R1:explore(C1) | R1:finish | R2:finish
14.0,34.0,14.0,8.0,14.0,10.0,C1,B2,R1:A_R2:B + R1:C :: R1:enter(A) | R2:enter(B) | R1:explore(A1) | R2:move(B3) | R1:move(A2) | R2:explore(B3) | R1:explore(A2) | R2:move(B1) | R1:move(A3) | R2:explore(B1) | R1:explore(A3) | R2:move(B2) | R1:move(A2) | R2:explore(B2) | R1:enter(C) | R1:explore(C2) | R1:move(C3) | R1:explore(C3) | R1:move(C1) | R1:explore(C1) | R1:finish | R2:finish
14.0,34.0,7.0,14.0,8.0,16.0,A2,C1,R1:A_R2:B + R2:C :: R1:enter(A) | R2:enter(B) | R1:explore(A1) | R2:move(B3) | R1:move(A3) | R2:explore(B3) | R1:explore(A3) | R2:move(B1) | R1:move(A2) | R2:explore(B1) | R1:explore(A2) | R2:move(B2) | R2:explore(B2) | R2:enter(C) | R2:explore(C3) | R2:move(C2) | R2:explore(C2) | R2:move(C1) | R2:explore(C1) | R1:finish | R2:finish
14.0,34.0,8.0,14.0,10.0,14.0,A2,C1,R1:A_R2:B + R2:C :: R1:enter(A) | R2:enter(B) | R1:move(A3) | R2:explore(B1) | R1:explore(A3) | R2:move(B2) | R1:move(A1) | R2:explore(B2) | R1:explore(A1) | R2:move(B3) | R1:move(A2) | R2:explore(B3) | R1:explore(A2) | R2:move(B2) | R2:enter(C) | R2:explore(C3) | R2:move(C2) | R2:explore(C2) | R2:move(C1) | R2:explore(C1) | R1:finish | R2:finish
14.0,34.0,14.0,7.0,16.0,8.0,C1,B2,R1:A_R2:B + R1:C :: R1:enter(A) | R2:enter(B) | R1:move(A3) | R2:explore(B1) | R1:explore(A3) | R2:move(B3) | R1:move(A1) | R2:explore(B3) | R1:explore(A1) | R2:move(B2) | R1:move(A2) | R2:explore(B2) | R1:explore(A2) | R1:enter(C) | R1:explore(C2) | R1:move(C3) | R1:explore(C3) | R1:move(C1) | R1:explore(C1) | R1:finish | R2:finish
14.0,34.0,8.0,14.0,10.0,14.0,B2,C1,R1:B_R2:A + R2:C :: R1:enter(B) | R2:enter(A) | R1:move(B3) | R2:explore(A1) | R1:explore(B3) | R2:move(A2) | R1:move(B1) | R2:explore(A2) | R1:explore(B1) | R2:move(A3) | R1:move(B2) | R2:explore(A3) | R1:explore(B2) | R2:move(A2) | R2:enter(C) | R2:explore(C2) | R2:move(C3) | R2:explore(C3) | R2:move(C1) | R2:explore(C1) | R1:finish | R2:finish
14.0,34.0,14.0,7.0,16.0,8.0,C1,A2,R1:B_R2:A + R1:C :: R1:enter(B) | R2:enter(A) | R1:move(B3) | R2:explore(A1) | R1:explore(B3) | R2:move(A3) | R1:move(B1) | R2:explore(A3) | R1:explore(B1) | R2:move(A2) | R1:move(B2) | R2:explore(A2) | R1:explore(B2) | R1:enter(C) | R1:explore(C3) | R1:move(C2) | R1:explore(C2) | R1:move(C1) | R1:explore(C1) | R1:finish | R2:finish
14.0,34.0,14.0,8.0,14.0,10.0,C1,A2,R1:B_R2:A + R1:C :: R1:enter(B) | R2:enter(A) | R1:explore(B1) | R2:move(A3) | R1:move(B2) | R2:explore(A3) | R1:explore(B2) | R2:move(A1) | R1:move(B3) | R2:explore(A1) | R1:explore(B3) | R2:move(A2) | R1:move(B2) | R2:explore(A2) | R1:enter(C) | R1:explore(C3) | R1:move(C2) | R1:explore(C2) | R1:move(C1) | R1:explore(C1) | R1:finish | R2:finish
14.0,34.0,7.0,14.0,8.0,16.0,B2,C1,R1:B_R2:A + R2:C :: R1:enter(B) | R2:enter(A) | R1:explore(B1) | R2:move(A3) | R1:move(B3) | R2:explore(A3) | R1:explore(B3) | R2:move(A1) | R1:move(B2) | R2:explore(A1) | R1:explore(B2) | R2:move(A2) | R2:explore(A2) | R2:enter(C) | R2:explore(C2) | R2:move(C3) | R2:explore(C3) | R2:move(C1) | R2:explore(C1) | R1:finish | R2:finish
14.0,35.0,8.0,14.0,9.0,16.0,A3,C1,R1:A_R2:B + R2:C :: R1:enter(A) | R2:enter(B) | R1:move(A2) | R2:move(B3) | R1:explore(A2) | R2:explore(B3) | R1:move(A1) | R2:move(B1) | R1:explore(A1) | R2:explore(B1) | R1:move(A3) | R2:move(B2) | R1:explore(A3) | R2:explore(B2) | R2:enter(C) | R2:explore(C3) | R2:move(C2) | R2:explore(C2) | R2:move(C1) | R2:explore(C1) | R1:finish | R2:finish
14.0,35.0,8.0,14.0,9.0,16.0,A1,C1,R1:A_R2:B + R2:C :: R1:enter(A) | R2:enter(B) | R1:move(A2) | R2:move(B3) | R1:explore(A2) | R2:explore(B3) | R1:move(A3) | R2:move(B1) | R1:explore(A3) | R2:explore(B1) | R1:move(A1) | R2:move(B2) | R1:explore(A1) | R2:explore(B2) | R2:enter(C) | R2:explore(C3) | R2:move(C2) | R2:explore(C2) | R2:move(C1) | R2:explore(C1) | R1:finish | R2:finish
